ID,Description,Score,Identity_Percent,Aligned_Length,Candidate_Length,Passed_Filter
RAS97785.1,RAS97785.1 hypothetical protein A6E21_00290 [Bacillus cereus],26.0,100.0,4,143,False
RQP16741.1,"RQP16741.1 MAG: hypothetical protein EAS52_10885, partial [Parapedobacter sp.]",27.0,100.0,4,106,False
RAS99964.1,RAS99964.1 hypothetical protein A6E22_23385 [Bacillus cereus],23.0,100.0,3,151,False
GAA0865419.1,GAA0865419.1 hypothetical protein GCM10009115_23890 [Sphingopyxis soli],24.0,100.0,3,139,False
KKB43910.1,KKB43910.1 hypothetical protein QY96_00316 [Bacillus thermotolerans],27.0,100.0,5,542,False
EIW90396.1,EIW90396.1 hypothetical protein AGRI_00960 [Alishewanella agri BL06],24.0,100.0,4,115,False
AJK88030.1,AJK88030.1 hypothetical protein HR49_13215 [Lysinibacillus fusiformis],26.0,100.0,4,118,False
KGO99171.1,KGO99171.1 hypothetical protein N791_10850 [Lysobacter defluvii IMMIB APB-9 = DSM 18482],26.5,88.89,9,103,True
AHB07673.2,AHB07673.2 hypothetical protein U875_21825 [Pandoraea pnomenusa 3kgm],29.5,88.89,9,169,True
CUR61399.1,CUR61399.1 conserved hypothetical protein [metagenome],39.0,88.89,9,165,True
GKS67671.1,GKS67671.1 hypothetical protein YTPLAS73_12180 [Nitrosarchaeum sp.],33.5,88.89,9,171,True
PXZ45772.1,PXZ45772.1 hypothetical protein DM483_27205 [Pseudomonas sp. SMT-1],33.0,87.5,8,235,True
KGP81577.1,KGP81577.1 hypothetical protein P363_0127665 [Paenibacillus sp. MAEPY1],28.5,87.5,8,182,True
GKS59329.1,GKS59329.1 hypothetical protein YTPLAS18_28560 [Nitrospira sp.],29.0,87.5,8,254,True
RQP10850.1,RQP10850.1 MAG: hypothetical protein EAS52_22325 [Parapedobacter sp.],32.0,87.5,8,457,True
KGP77963.1,KGP77963.1 hypothetical protein P364_0130725 [Paenibacillus sp. MAEPY2],28.5,87.5,8,182,True
CAD6513187.1,CAD6513187.1 conserved hypothetical protein [metagenome],30.0,87.5,8,189,True
AHG18357.1,AHG18357.1 hypothetical protein Z042_00870 [Chania multitudinisentens RB-25],31.0,87.5,8,211,True
GAB6181720.1,GAB6181720.1 hypothetical protein JCM14036_30390 [Desulfotomaculum defluvii],27.0,87.5,8,111,True
QRE83680.1,QRE83680.1 hypothetical protein F1734_25430 (plasmid) [Rhodococcus ruber],29.0,87.5,8,111,True
GKS65164.1,GKS65164.1 hypothetical protein YTPLAS72_24680 [Nitrospira sp.],29.0,85.71,7,102,True
OCN00271.1,OCN00271.1 hypothetical protein A7X67_09395 [Clostridium sp. W14A],33.0,85.71,7,208,True
GKS59586.1,GKS59586.1 hypothetical protein YTPLAS18_31130 [Nitrospira sp.],29.0,85.71,7,234,True
GAB6179834.1,GAB6179834.1 hypothetical protein JCM14036_11530 [Desulfotomaculum defluvii],34.0,85.71,7,163,True
GFO82958.1,GFO82958.1 MAG: hypothetical protein A49_25850 [Methyloceanibacter sp.],30.0,85.71,7,178,True
PXZ53420.1,PXZ53420.1 hypothetical protein DM483_05155 [Pseudomonas sp. SMT-1],31.0,85.71,7,194,True
RQP18197.1,RQP18197.1 MAG: hypothetical protein EAS52_06340 [Parapedobacter sp.],22.0,85.71,7,155,True
AHB08365.1,AHB08365.1 hypothetical protein U875_09270 [Pandoraea pnomenusa 3kgm],29.0,85.71,7,107,True
AHB05930.2,AHB05930.2 hypothetical protein U875_11565 [Pandoraea pnomenusa 3kgm],28.0,85.71,7,112,True
RAT02032.1,RAT02032.1 hypothetical protein A6E22_20375 [Bacillus cereus],30.0,85.71,7,259,True
AHB78001.1,AHB78001.1 hypothetical protein X636_23145 [Pandoraea pnomenusa],28.0,85.71,7,117,True
RAS91491.1,RAS91491.1 hypothetical protein A6E21_23605 [Bacillus cereus],30.0,85.71,7,259,True
KGP81404.1,KGP81404.1 hypothetical protein P364_0116330 [Paenibacillus sp. MAEPY2],30.0,83.33,6,343,True
GKS67953.1,GKS67953.1 hypothetical protein YTPLAS73_15000 [Nitrosarchaeum sp.],28.0,83.33,6,163,True
KKB41105.1,KKB41105.1 hypothetical protein QY96_02125 [Bacillus thermotolerans],29.0,83.33,6,138,True
KKB39798.1,KKB39798.1 hypothetical protein QY95_02015 [Bacillus thermotolerans],25.0,83.33,6,198,True
KKB34349.1,KKB34349.1 hypothetical protein QY95_03960 [Bacillus thermotolerans],29.0,83.33,6,138,True
UZF56716.1,UZF56716.1 hypothetical protein LH935_01515 [Gordonia polyisoprenivorans],26.0,83.33,6,263,True
EIW90236.1,EIW90236.1 hypothetical protein AGRI_00155 [Alishewanella agri BL06],26.0,83.33,6,152,True
KGP87343.1,KGP87343.1 hypothetical protein P363_0113580 [Paenibacillus sp. MAEPY1],30.0,83.33,6,287,True
KGP87089.1,KGP87089.1 hypothetical protein P363_0113720 [Paenibacillus sp. MAEPY1],30.0,83.33,6,343,True
CUR62360.1,CUR62360.1 conserved membrane hypothetical protein [metagenome],37.0,83.33,12,348,True
KGP80821.1,KGP80821.1 hypothetical protein P363_0129515 [Paenibacillus sp. MAEPY1],24.0,83.33,6,155,True
CUR54398.1,CUR54398.1 hypothetical protein NOCA2150140 [metagenome],34.0,83.33,6,113,True
KGP85649.1,KGP85649.1 hypothetical protein P364_0100120 [Paenibacillus sp. MAEPY2],30.0,83.33,6,287,True
GKS60593.1,GKS60593.1 hypothetical protein YTPLAS21_00510 [Candidatus Nitrosocosmicus sp.],30.0,83.33,6,215,True
GKS61328.1,GKS61328.1 hypothetical protein YTPLAS21_07860 [Candidatus Nitrosocosmicus sp.],25.0,83.33,6,110,True
GKS61143.1,GKS61143.1 hypothetical protein YTPLAS21_06010 [Candidatus Nitrosocosmicus sp.],27.0,83.33,6,122,True
PCL91929.1,PCL91929.1 hypothetical protein CPZ30_14415 [Paenibacillus lautus],28.0,83.33,6,171,True
OCN01107.1,OCN01107.1 hypothetical protein A7X67_06965 [Clostridium sp. W14A],29.0,83.33,6,156,True
AJK89794.1,AJK89794.1 hypothetical protein HR49_23005 [Lysinibacillus fusiformis],28.0,83.33,6,153,True
GAB6182008.1,GAB6182008.1 hypothetical protein JCM14036_33270 [Desulfotomaculum defluvii],29.0,83.33,6,374,True
KGP78171.1,KGP78171.1 hypothetical protein P364_0129975 [Paenibacillus sp. MAEPY2],24.0,83.33,6,155,True
GKS57263.1,GKS57263.1 hypothetical protein YTPLAS18_07900 [Nitrospira sp.],26.0,83.33,6,119,True
RAT14450.1,RAT14450.1 hypothetical protein A6E22_00185 [Bacillus cereus],27.0,83.33,6,194,True
GKS59359.1,GKS59359.1 hypothetical protein YTPLAS18_28860 [Nitrospira sp.],31.0,83.33,6,128,True
WWV55137.1,WWV55137.1 hypothetical protein V0M98_33360 (plasmid) [Pseudomonas silesiensis],21.0,83.33,6,101,True
WWV54485.1,WWV54485.1 hypothetical protein V0M98_37140 (plasmid) [Pseudomonas silesiensis],25.0,83.33,6,162,True
APC47325.1,APC47325.1 hypothetical protein BME96_03700 [Virgibacillus halodenitrificans],29.0,83.33,6,157,True
GKS66532.1,GKS66532.1 hypothetical protein YTPLAS73_00790 [Nitrosarchaeum sp.],30.0,83.33,6,334,True
EIW88039.1,EIW88039.1 hypothetical protein AGRI_12576 [Alishewanella agri BL06],24.0,83.33,6,144,True
UNT42421.1,UNT42421.1 hypothetical protein MN200_11325 [Acinetobacter sp. LUNF3],30.0,83.33,6,144,True
KKB44233.1,KKB44233.1 hypothetical protein QY96_03255 [Bacillus thermotolerans],25.0,83.33,6,198,True
YP_009031340.1,YP_009031340.1 hypothetical protein Bcp1_060 [Bacillus phage Bcp1],25.0,83.33,6,174,True
AHN66537.1,AHN66537.1 hypothetical protein Bcp1_060 [Bacillus phage Bcp1],25.0,83.33,6,174,True
UUD61127.1,UUD61127.1 hypothetical protein KK132_04630 [Bacillus velezensis],35.0,81.82,11,300,True
CUR56740.1,CUR56740.1 hypothetical protein NOCA1120170 [metagenome],32.5,80.0,10,167,True
RAT09657.1,RAT09657.1 hypothetical protein A6E22_07825 [Bacillus cereus],23.0,80.0,5,105,True
AHB08111.1,AHB08111.1 hypothetical protein U875_24410 [Pandoraea pnomenusa 3kgm],30.0,80.0,5,117,True
GKS66609.1,GKS66609.1 hypothetical protein YTPLAS73_01560 [Nitrosarchaeum sp.],25.0,80.0,5,140,True
WWV54458.1,WWV54458.1 hypothetical protein V0M98_37005 (plasmid) [Pseudomonas silesiensis],24.0,80.0,5,141,True
AHB08369.1,AHB08369.1 hypothetical protein U875_09390 [Pandoraea pnomenusa 3kgm],23.0,80.0,5,140,True
RAT09642.1,RAT09642.1 hypothetical protein A6E22_07845 [Bacillus cereus],24.0,80.0,5,110,True
GAB6181439.1,GAB6181439.1 hypothetical protein JCM14036_27580 [Desulfotomaculum defluvii],22.0,80.0,5,147,True
CUR61171.1,CUR61171.1 conserved hypothetical protein [metagenome],26.0,80.0,10,139,True
GKS67164.1,GKS67164.1 hypothetical protein YTPLAS73_07110 [Nitrosarchaeum sp.],23.0,80.0,5,103,True
GKS59652.1,GKS59652.1 hypothetical protein YTPLAS18_31790 [Nitrospira sp.],30.5,80.0,10,195,True
CUR62376.1,CUR62376.1 hypothetical protein NOCA180020 [metagenome],25.0,80.0,5,119,True
CUR62414.1,CUR62414.1 conserved hypothetical protein [metagenome],27.0,80.0,10,262,True
CAD6520875.1,CAD6520875.1 conserved hypothetical protein [metagenome],23.0,80.0,5,116,True
DBA35242.1,DBA35242.1 TPA_asm: hypothetical protein vir530_00018 [dsDNA virus vir530],23.0,80.0,5,102,True
URF05692.1,URF05692.1 hypothetical protein M5D45_07820 [Cupriavidus campinensis],28.0,80.0,5,128,True
CAD6522645.1,CAD6522645.1 conserved hypothetical protein [metagenome],24.0,80.0,5,141,True
GKS66700.1,GKS66700.1 hypothetical protein YTPLAS73_02470 [Nitrosarchaeum sp.],28.0,80.0,5,183,True
AHB78293.1,AHB78293.1 hypothetical protein X636_00235 [Pandoraea pnomenusa],23.0,80.0,5,140,True
RQP15745.1,RQP15745.1 MAG: hypothetical protein EAS52_14055 [Parapedobacter sp.],22.0,80.0,5,136,True
RAT07213.1,RAT07213.1 hypothetical protein A6E22_12285 [Bacillus cereus],25.0,80.0,5,108,True
RQP19467.1,RQP19467.1 MAG: hypothetical protein EAS52_02165 [Parapedobacter sp.],23.0,80.0,5,135,True
RQP17599.1,RQP17599.1 MAG: hypothetical protein EAS52_08280 [Parapedobacter sp.],24.0,80.0,5,111,True
APC50395.1,APC50395.1 hypothetical protein BME96_19120 (plasmid) [Virgibacillus halodenitrificans],25.0,80.0,5,103,True
GKS58006.1,GKS58006.1 hypothetical protein YTPLAS18_15330 [Nitrospira sp.],24.0,80.0,5,124,True
RQP16721.1,RQP16721.1 MAG: hypothetical protein EAS52_10970 [Parapedobacter sp.],21.0,80.0,5,114,True
RQP14529.1,RQP14529.1 MAG: hypothetical protein EAS52_17340 [Parapedobacter sp.],22.0,80.0,5,121,True
RAS95926.1,RAS95926.1 hypothetical protein A6E21_07685 [Bacillus cereus],24.0,80.0,5,110,True
RAS94826.1,RAS94826.1 hypothetical protein A6E21_12720 [Bacillus cereus],25.0,80.0,5,108,True
GKS60945.1,GKS60945.1 hypothetical protein YTPLAS21_04030 [Candidatus Nitrosocosmicus sp.],24.0,80.0,5,102,True
AJK89379.1,AJK89379.1 hypothetical protein HR49_20670 [Lysinibacillus fusiformis],27.0,80.0,5,151,True
KGP78675.1,KGP78675.1 hypothetical protein P363_0131870 [Paenibacillus sp. MAEPY1],24.0,80.0,5,197,True
AJK88675.1,AJK88675.1 hypothetical protein HR49_16825 [Lysinibacillus fusiformis],25.0,80.0,5,180,True
QQE08993.1,QQE08993.1 hypothetical protein IC580_23360 [Cupriavidus sp. ISTL7],24.0,80.0,5,103,True
KGP77706.1,KGP77706.1 hypothetical protein P364_0132050 [Paenibacillus sp. MAEPY2],24.0,80.0,5,197,True
GAA0862891.1,GAA0862891.1 hypothetical protein GCM10009115_11350 [Sphingopyxis soli],32.0,80.0,10,182,True
GFO83277.1,GFO83277.1 MAG: hypothetical protein A49_29040 [Methyloceanibacter sp.],29.0,80.0,5,138,True
CAD6523581.1,CAD6523581.1 conserved hypothetical protein [metagenome],22.0,80.0,5,112,True
KKB35045.1,KKB35045.1 hypothetical protein QY95_03616 [Bacillus thermotolerans],29.0,80.0,5,213,True
WWV55419.1,WWV55419.1 hypothetical protein V0M98_34780 (plasmid) [Pseudomonas silesiensis],23.0,80.0,5,121,True
QHS92317.1,QHS92317.1 MAG: hypothetical protein [viral metagenome],25.0,80.0,5,168,True
GKS66256.1,GKS66256.1 hypothetical protein YTPLAS72_35600 [Nitrospira sp.],23.0,80.0,5,215,True
AJK87993.1,AJK87993.1 hypothetical protein HR49_13005 [Lysinibacillus fusiformis],32.5,80.0,10,252,True
KYC29295.1,KYC29295.1 hypothetical protein ACY05_01795 [Sterolibacterium denitrificans],21.0,80.0,5,106,True
AHG20096.1,AHG20096.1 hypothetical protein Z042_10985 [Chania multitudinisentens RB-25],23.0,80.0,5,112,True
RAT12210.1,RAT12210.1 hypothetical protein A6E22_03090 [Bacillus cereus],27.5,78.57,14,361,True
RAT11807.1,RAT11807.1 hypothetical protein A6E22_04005 [Bacillus cereus],28.0,77.78,9,123,True
GFO82022.1,GFO82022.1 MAG: hypothetical protein A49_16490 [Methyloceanibacter sp.],33.0,77.78,9,441,True
KGP79561.1,KGP79561.1 hypothetical protein P363_0131010 [Paenibacillus sp. MAEPY1],33.0,77.78,9,130,True
GAB6181232.1,GAB6181232.1 hypothetical protein JCM14036_25510 [Desulfotomaculum defluvii],33.5,77.78,9,119,True
URF04097.1,URF04097.1 hypothetical protein M5D45_16720 [Cupriavidus campinensis],29.0,77.78,9,114,True
URF07854.1,URF07854.1 hypothetical protein M5D45_22080 [Cupriavidus campinensis],26.5,77.78,9,105,True
GKS57581.1,GKS57581.1 hypothetical protein YTPLAS18_11080 [Nitrospira sp.],28.0,77.78,9,140,True
APC49666.1,APC49666.1 hypothetical protein BME96_16360 [Virgibacillus halodenitrificans],25.5,77.78,9,380,True
GKS67399.1,GKS67399.1 hypothetical protein YTPLAS73_09460 [Nitrosarchaeum sp.],25.0,77.78,9,121,True
UFN92254.1,UFN92254.1 hypothetical protein LF814_19760 [Micromonospora aurantiaca (nom. illeg.)],31.0,77.78,9,160,True
KGP77792.1,KGP77792.1 hypothetical protein P364_0131505 [Paenibacillus sp. MAEPY2],33.0,77.78,9,130,True
OCN02092.1,OCN02092.1 hypothetical protein A7X67_04985 [Clostridium sp. W14A],27.5,77.78,9,336,True
WWV55460.1,WWV55460.1 hypothetical protein V0M98_34985 (plasmid) [Pseudomonas silesiensis],31.0,76.92,13,150,True
APC49998.1,APC49998.1 hypothetical protein BME96_18115 [Virgibacillus halodenitrificans],42.5,76.92,13,375,True
OCN03169.1,OCN03169.1 hypothetical protein A7X67_13650 [Clostridium sp. W14A],37.5,76.92,13,198,True
GFO83213.1,GFO83213.1 MAG: hypothetical protein A49_28400 [Methyloceanibacter sp.],35.5,76.92,13,201,True
KGP82883.1,KGP82883.1 hypothetical protein P364_0110920 [Paenibacillus sp. MAEPY2],25.0,75.0,8,190,True
CAD6368853.1,CAD6368853.1 conserved hypothetical protein [metagenome],29.0,75.0,12,146,True
KKB36311.1,KKB36311.1 hypothetical protein QY95_03175 [Bacillus thermotolerans],26.0,75.0,8,159,True
KGP79631.1,KGP79631.1 hypothetical protein P364_0122900 [Paenibacillus sp. MAEPY2],24.0,75.0,4,123,True
GFO82888.1,GFO82888.1 MAG: hypothetical protein A49_25150 [Methyloceanibacter sp.],27.0,75.0,8,130,True
CAD6524846.1,CAD6524846.1 conserved membrane hypothetical protein [metagenome],29.0,75.0,8,130,True
GAB6179668.1,GAB6179668.1 hypothetical protein JCM14036_09870 [Desulfotomaculum defluvii],34.0,75.0,8,943,True
CAD6524981.1,CAD6524981.1 conserved hypothetical protein [metagenome],22.0,75.0,4,234,True
KGP85516.1,KGP85516.1 hypothetical protein P364_0100415 [Paenibacillus sp. MAEPY2],24.0,75.0,4,136,True
KGP84063.1,KGP84063.1 hypothetical protein P363_0123630 [Paenibacillus sp. MAEPY1],24.0,75.0,4,123,True
CAD6368619.1,CAD6368619.1 hypothetical protein NMT12_120107 [metagenome],24.5,75.0,8,289,True
KGP80953.1,KGP80953.1 hypothetical protein P363_0129005 [Paenibacillus sp. MAEPY1],25.0,75.0,8,190,True
KGP87265.1,KGP87265.1 hypothetical protein P363_0113285 [Paenibacillus sp. MAEPY1],24.0,75.0,4,136,True
GAB6181195.1,GAB6181195.1 hypothetical protein JCM14036_25140 [Desulfotomaculum defluvii],25.5,75.0,12,206,True
GKS61728.1,GKS61728.1 hypothetical protein YTPLAS21_11860 [Candidatus Nitrosocosmicus sp.],23.0,75.0,4,131,True
GKS61552.1,GKS61552.1 hypothetical protein YTPLAS21_10100 [Candidatus Nitrosocosmicus sp.],22.0,75.0,4,100,True
KKB41218.1,KKB41218.1 hypothetical protein QY95_00925 [Bacillus thermotolerans],26.0,75.0,4,185,True
CAD6522519.1,CAD6522519.1 conserved hypothetical protein [metagenome],32.0,75.0,8,165,True
GKS60927.1,GKS60927.1 hypothetical protein YTPLAS21_03850 [Candidatus Nitrosocosmicus sp.],33.5,75.0,8,552,True
PCL92246.1,PCL92246.1 hypothetical protein CPZ30_16075 [Paenibacillus lautus],46.0,75.0,12,113,True
PXZ51146.1,PXZ51146.1 hypothetical protein DM483_08845 [Pseudomonas sp. SMT-1],31.0,75.0,12,120,True
UNT42917.1,UNT42917.1 hypothetical protein MN200_14240 [Acinetobacter sp. LUNF3],22.0,75.0,4,174,True
KKB44847.1,KKB44847.1 hypothetical protein QY96_01128 [Bacillus thermotolerans],26.0,75.0,8,159,True
KKB44081.1,KKB44081.1 hypothetical protein QY96_03707 [Bacillus thermotolerans],26.0,75.0,4,185,True
YP_009031423.1,YP_009031423.1 hypothetical protein Bcp1_142 [Bacillus phage Bcp1],20.0,75.0,4,116,True
AJK86892.1,AJK86892.1 hypothetical protein HR49_06785 [Lysinibacillus fusiformis],30.0,75.0,8,229,True
UNT41965.1,UNT41965.1 hypothetical protein MN200_08765 [Acinetobacter sp. LUNF3],30.0,75.0,12,163,True
QTQ97483.1,QTQ97483.1 hypothetical protein J9247_28155 [Pseudomonas aeruginosa],26.0,75.0,8,134,True
AJK88507.1,AJK88507.1 hypothetical protein HR49_15890 [Lysinibacillus fusiformis],31.0,75.0,8,141,True
OCN01828.1,OCN01828.1 hypothetical protein A7X67_03395 [Clostridium sp. W14A],36.0,75.0,8,329,True
OCN01625.1,OCN01625.1 hypothetical protein A7X67_00570 [Clostridium sp. W14A],26.0,75.0,8,132,True
AHN66617.1,AHN66617.1 hypothetical protein Bcp1_142 [Bacillus phage Bcp1],20.0,75.0,4,116,True
XZG88811.1,XZG88811.1 hypothetical protein ACTT2I_00265 [Stenotrophomonas sp. PUT21],24.0,75.0,4,125,True
RAS95798.1,RAS95798.1 hypothetical protein A6E22_29595 [Bacillus cereus],26.0,75.0,4,143,True
APC46712.1,APC46712.1 hypothetical protein BME96_00140 [Virgibacillus halodenitrificans],31.0,75.0,8,448,True
RAS96068.1,RAS96068.1 hypothetical protein A6E21_07400 [Bacillus cereus],25.0,75.0,4,130,True
OCN02777.1,OCN02777.1 hypothetical protein A7X67_02670 [Clostridium sp. W14A],21.0,75.0,4,112,True
GKS63086.1,GKS63086.1 hypothetical protein YTPLAS72_03900 [Nitrospira sp.],47.0,75.0,12,395,True
APC49327.1,APC49327.1 hypothetical protein BME96_14505 [Virgibacillus halodenitrificans],31.0,75.0,8,448,True
RQP10394.1,RQP10394.1 MAG: hypothetical protein EAS52_22835 [Parapedobacter sp.],27.0,75.0,8,178,True
APC48363.1,APC48363.1 hypothetical protein BME96_09355 [Virgibacillus halodenitrificans],31.0,75.0,8,448,True
APC47460.1,APC47460.1 hypothetical protein BME96_04430 [Virgibacillus halodenitrificans],31.0,75.0,8,448,True
WWV54700.1,WWV54700.1 hypothetical protein V0M98_38235 (plasmid) [Pseudomonas silesiensis],30.0,75.0,8,161,True
AHB78298.1,AHB78298.1 hypothetical protein X636_00360 [Pandoraea pnomenusa],20.0,75.0,8,105,True
AHB08364.1,AHB08364.1 hypothetical protein U875_09265 [Pandoraea pnomenusa 3kgm],20.0,75.0,8,105,True
KGP87104.1,KGP87104.1 hypothetical protein P363_0113805 [Paenibacillus sp. MAEPY1],27.0,73.33,15,128,True
KGP81419.1,KGP81419.1 hypothetical protein P364_0116415 [Paenibacillus sp. MAEPY2],27.0,73.33,15,128,True
QQE07047.1,QQE07047.1 hypothetical protein IC580_00645 [Cupriavidus sp. ISTL7],36.5,73.33,15,102,True
QTQ97813.1,QTQ97813.1 hypothetical protein J9247_29935 [Pseudomonas aeruginosa],37.0,72.73,11,110,True
XYX35319.1,XYX35319.1 hypothetical protein ACSHT2_34560 [Bradyrhizobium sp. PUT101],35.0,72.73,11,106,True
AJK86970.1,AJK86970.1 hypothetical protein HR49_07230 [Lysinibacillus fusiformis],29.0,72.73,11,257,True
GAA4400781.1,GAA4400781.1 hypothetical protein GCM10023089_01420 [Quisquiliibacterium transsilvanicum],39.0,72.73,11,129,True
CUR58442.1,CUR58442.1 hypothetical protein NOCA1140104 [metagenome],39.0,72.73,11,719,True
QHS92512.1,QHS92512.1 MAG: hypothetical protein [viral metagenome],27.5,72.73,11,163,True
RQP15201.1,RQP15201.1 MAG: hypothetical protein EAS52_15915 [Parapedobacter sp.],30.0,72.73,11,195,True
RQP05578.1,RQP05578.1 MAG: hypothetical protein D1H97_12030 [Paracoccus sp. BP8],29.0,71.43,7,342,True
UFN95115.1,UFN95115.1 hypothetical protein LF814_02795 [Micromonospora aurantiaca (nom. illeg.)],22.0,71.43,7,112,True
GFO81489.1,GFO81489.1 MAG: hypothetical protein A49_11160 [Methyloceanibacter sp.],30.0,71.43,7,203,True
RAT01874.1,RAT01874.1 hypothetical protein A6E22_20620 [Bacillus cereus],24.0,71.43,7,102,True
PCL89926.1,PCL89926.1 hypothetical protein CPZ30_25560 [Paenibacillus lautus],24.0,71.43,7,106,True
UNT42279.1,UNT42279.1 hypothetical protein MN200_10520 [Acinetobacter sp. LUNF3],36.0,71.43,7,221,True
PCL90424.1,PCL90424.1 hypothetical protein CPZ30_21490 [Paenibacillus lautus],33.0,71.43,7,401,True
AJK89741.1,AJK89741.1 hypothetical protein HR49_22615 [Lysinibacillus fusiformis],30.0,71.43,7,173,True
XYX36729.1,XYX36729.1 hypothetical protein ACSHT2_06940 [Bradyrhizobium sp. PUT101],25.5,71.43,14,125,True
KGP86764.1,KGP86764.1 hypothetical protein P363_0115740 [Paenibacillus sp. MAEPY1],27.0,71.43,14,112,True
WWV54621.1,WWV54621.1 hypothetical protein V0M98_37825 (plasmid) [Pseudomonas silesiensis],25.0,71.43,7,157,True
APC50392.1,APC50392.1 hypothetical protein BME96_19105 (plasmid) [Virgibacillus halodenitrificans],26.0,71.43,7,171,True
GKS66899.1,GKS66899.1 hypothetical protein YTPLAS73_04460 [Nitrosarchaeum sp.],29.0,71.43,7,134,True
GKS58966.1,GKS58966.1 hypothetical protein YTPLAS18_24930 [Nitrospira sp.],30.0,71.43,7,147,True
GAA4401167.1,GAA4401167.1 hypothetical protein GCM10023089_02390 [Quisquiliibacterium transsilvanicum],34.0,71.43,14,272,True
GKS61119.1,GKS61119.1 hypothetical protein YTPLAS21_05770 [Candidatus Nitrosocosmicus sp.],27.0,71.43,7,154,True
APC48952.1,APC48952.1 hypothetical protein BME96_12450 [Virgibacillus halodenitrificans],25.0,71.43,7,265,True
GKS59704.1,GKS59704.1 hypothetical protein YTPLAS18_32310 [Nitrospira sp.],27.0,71.43,7,125,True
RQP16469.1,RQP16469.1 MAG: hypothetical protein EAS52_11770 [Parapedobacter sp.],29.0,71.43,7,248,True
GAB6181067.1,GAB6181067.1 hypothetical protein JCM14036_23860 [Desulfotomaculum defluvii],25.0,71.43,7,167,True
KKB43562.1,KKB43562.1 hypothetical protein QY96_00799 [Bacillus thermotolerans],38.0,71.43,7,224,True
AHN66572.1,AHN66572.1 hypothetical protein Bcp1_097 [Bacillus phage Bcp1],27.0,71.43,7,161,True
QHS92582.1,QHS92582.1 MAG: hypothetical protein [viral metagenome],24.0,71.43,7,105,True
QHS92600.1,QHS92600.1 MAG: hypothetical protein [viral metagenome],22.0,71.43,7,146,True
UFN96553.1,UFN96553.1 hypothetical protein LF814_10620 [Micromonospora aurantiaca (nom. illeg.)],27.0,71.43,7,148,True
RQP10719.1,RQP10719.1 MAG: hypothetical protein EAS52_22480 [Parapedobacter sp.],29.0,71.43,7,222,True
PCL93304.1,PCL93304.1 hypothetical protein CPZ30_07570 [Paenibacillus lautus],26.0,71.43,7,154,True
KGO99260.1,KGO99260.1 hypothetical protein N791_10260 [Lysobacter defluvii IMMIB APB-9 = DSM 18482],27.0,71.43,7,152,True
RQP14170.1,RQP14170.1 MAG: hypothetical protein EAS48_02220 [Chryseobacterium sp.],32.0,71.43,7,154,True
KGP84597.1,KGP84597.1 hypothetical protein P364_0104070 [Paenibacillus sp. MAEPY2],27.0,71.43,14,112,True
