ID,Average_pLDDT,Num_Residues,Min_pLDDT,Max_pLDDT,Category,Status
AHG21611.1,96.24,310,64.0,99.0,Very High,Passed
AHG21663.1,95.72,305,80.0,99.0,Very High,Passed
AHG21714.1,92.06,140,81.0,96.0,Very High,Passed
AHG21872.1,94.66,274,63.0,99.0,Very High,Passed
AHG22468.1,85.48,357,42.0,98.0,High,Passed
AHG22583.1,66.94,233,31.0,92.0,Low,Failed
AHG22585.1,75.1,167,37.0,93.0,High,Passed
AHG22588.1,85.18,260,44.0,99.0,High,Passed
AHG22606.1,36.22,110,27.0,49.0,Very Low,Failed
AHG22609.1,60.68,110,37.0,81.0,Low,Failed
AHG22626.1,83.08,300,49.0,98.0,High,Passed
AHG22633.1,57.63,133,34.0,72.0,Low,Failed
AHG22634.1,73.68,270,29.0,97.0,High,Passed
AHG22651.2,86.85,196,59.0,97.0,High,Passed
AHG22679.1,90.01,270,42.0,98.0,Very High,Passed
AHG22705.1,89.97,275,58.0,98.0,High,Passed
AHG22745.1,86.5,183,62.0,98.0,High,Passed
AHG22773.2,64.75,126,33.0,86.0,Low,Failed
AHG22792.1,87.66,292,42.0,99.0,High,Passed
AHG22826.1,88.0,214,49.0,98.0,High,Passed
AHG22852.1,82.12,121,37.0,94.0,High,Passed
AHN66573.1,58.95,275,28.0,95.0,Low,Failed
AHN66676.1,55.98,163,32.0,86.0,Low,Failed
AJK85803.1,95.17,248,47.0,99.0,Very High,Passed
AJK85954.1,82.89,179,50.0,94.0,High,Passed
AJK86331.1,90.13,379,46.0,99.0,Very High,Passed
AJK86521.1,96.66,322,76.0,99.0,Very High,Passed
AJK86530.1,89.43,249,54.0,99.0,High,Passed
AJK86713.1,75.84,317,31.0,98.0,High,Passed
AJK86758.1,76.05,287,40.0,98.0,High,Passed
AJK86901.1,79.97,388,36.0,98.0,High,Passed
AJK87067.1,92.14,321,58.0,99.0,Very High,Passed
AJK87175.1,70.26,147,38.0,89.0,High,Passed
AJK87180.1,81.57,214,44.0,98.0,High,Passed
AJK87253.1,70.21,160,37.0,88.0,High,Passed
AJK87300.1,98.57,371,89.0,99.0,Very High,Passed
AJK87329.1,94.01,280,58.0,99.0,Very High,Passed
AJK87336.1,93.82,250,65.0,99.0,Very High,Passed
AJK87370.1,97.2,341,78.0,99.0,Very High,Passed
AJK87445.1,75.41,370,22.0,97.0,High,Passed
AJK87492.1,66.28,141,37.0,86.0,Low,Failed
AJK87675.1,78.53,251,49.0,98.0,High,Passed
AJK87849.1,89.79,256,58.0,97.0,High,Passed
AJK87853.1,83.61,262,34.0,96.0,High,Passed
AJK87966.1,44.44,159,27.0,61.0,Very Low,Failed
AJK88124.1,86.2,200,50.0,98.0,High,Passed
AJK88408.1,92.51,192,65.0,99.0,Very High,Passed
AJK88553.1,95.78,292,70.0,99.0,Very High,Passed
AJK88688.1,76.54,357,24.0,98.0,High,Passed
AJK88693.1,75.67,257,34.0,98.0,High,Passed
AJK88704.1,95.06,342,61.0,99.0,Very High,Passed
AJK88712.1,93.89,272,49.0,99.0,Very High,Passed
AJK88911.1,87.13,306,54.0,99.0,High,Passed
AJK89175.1,93.64,366,52.0,99.0,Very High,Passed
AJK89259.1,97.28,239,83.0,99.0,Very High,Passed
AJK89351.1,80.87,139,26.0,93.0,High,Passed
AJK89483.1,88.64,143,44.0,95.0,High,Passed
AJK89589.1,84.64,266,51.0,98.0,High,Passed
AJK89659.1,85.79,117,53.0,96.0,High,Passed
AJK89685.1,94.36,192,77.0,98.0,Very High,Passed
AJK89692.1,86.42,268,59.0,98.0,High,Passed
AJK89922.1,88.85,297,45.0,99.0,High,Passed
AJK89933.1,84.61,303,51.0,98.0,High,Passed
AJK89955.1,67.61,140,43.0,89.0,Low,Failed
AJK89975.1,84.23,124,33.0,94.0,High,Passed
AJW28938.1,89.56,300,53.0,99.0,High,Passed
APC46874.1,70.45,147,46.0,90.0,High,Passed
APC46968.1,93.43,338,65.0,98.0,Very High,Passed
APC47037.1,90.65,272,57.0,99.0,Very High,Passed
APC47285.1,97.28,214,86.0,99.0,Very High,Passed
APC47301.1,92.22,116,55.0,97.0,Very High,Passed
APC47320.1,50.1,193,32.0,90.0,Low,Failed
APC47479.1,93.72,395,57.0,99.0,Very High,Passed
APC47486.1,93.53,280,66.0,99.0,Very High,Passed
APC47545.1,96.81,342,74.0,99.0,Very High,Passed
APC47549.1,93.49,346,63.0,99.0,Very High,Passed
APC47672.1,91.32,289,57.0,99.0,Very High,Passed
APC47673.1,93.6,284,66.0,99.0,Very High,Passed
APC47684.1,93.98,278,57.0,99.0,Very High,Passed
APC47798.1,86.65,154,49.0,93.0,High,Passed
APC47829.1,33.42,129,25.0,51.0,Very Low,Failed
APC47952.1,92.71,387,61.0,99.0,Very High,Passed
APC47980.1,75.46,284,39.0,98.0,High,Passed
APC48020.1,87.89,131,66.0,94.0,High,Passed
APC48086.1,88.06,136,45.0,94.0,High,Passed
APC48196.1,87.89,171,61.0,96.0,High,Passed
APC48259.1,81.0,207,49.0,98.0,High,Passed
APC48305.1,91.27,279,41.0,98.0,Very High,Passed
APC48321.1,87.76,298,52.0,98.0,High,Passed
APC48449.1,94.13,291,55.0,99.0,Very High,Passed
APC48735.1,96.58,342,82.0,99.0,Very High,Passed
APC48848.1,94.19,350,75.0,99.0,Very High,Passed
APC48868.1,81.18,329,44.0,98.0,High,Passed
APC48952.1,94.15,265,64.0,99.0,Very High,Passed
APC48973.1,94.83,102,74.0,98.0,Very High,Passed
APC49050.1,85.58,186,53.0,98.0,High,Passed
APC49071.1,93.59,294,61.0,99.0,Very High,Passed
APC49089.1,93.94,339,67.0,99.0,Very High,Passed
APC49106.1,96.55,319,82.0,99.0,Very High,Passed
APC49188.1,91.55,285,47.0,99.0,Very High,Passed
APC49241.1,93.9,285,54.0,99.0,Very High,Passed
APC49279.1,94.4,278,48.0,99.0,Very High,Passed
APC49381.1,94.01,331,83.0,98.0,Very High,Passed
APC49414.1,95.32,278,53.0,99.0,Very High,Passed
APC49445.1,96.81,324,49.0,99.0,Very High,Passed
APC49608.1,95.64,367,67.0,99.0,Very High,Passed
APC49638.1,35.25,106,25.0,49.0,Very Low,Failed
APC49644.1,31.4,185,23.0,49.0,Very Low,Failed
APC49676.1,95.17,395,61.0,99.0,Very High,Passed
APC49710.1,97.64,247,75.0,99.0,Very High,Passed
APC49715.1,92.54,292,65.0,99.0,Very High,Passed
APC49757.1,83.5,183,46.0,94.0,High,Passed
APC49916.1,97.45,229,88.0,99.0,Very High,Passed
APC50031.1,93.65,291,71.0,98.0,Very High,Passed
APC50145.1,53.86,161,27.0,87.0,Low,Failed
APC50208.1,89.93,179,48.0,96.0,High,Passed
CAD6368500.1,88.4,376,33.0,99.0,High,Passed
CAD6368588.1,83.73,332,42.0,98.0,High,Passed
CAD6368679.1,76.81,300,36.0,98.0,High,Passed
CAD6368708.1,88.65,315,55.0,98.0,High,Passed
CAD6368741.1,93.61,127,84.0,97.0,Very High,Passed
CAD6368851.1,64.14,107,31.0,88.0,Low,Failed
CAD6513179.1,73.03,210,34.0,97.0,High,Passed
CAD6513256.1,86.85,353,45.0,98.0,High,Passed
CAD6513836.1,77.39,155,50.0,89.0,High,Passed
CAD6515193.1,94.01,341,61.0,99.0,Very High,Passed
CAD6515298.1,83.81,179,34.0,96.0,High,Passed
CAD6515343.1,92.09,369,57.0,99.0,Very High,Passed
CAD6517908.1,42.49,105,32.0,55.0,Very Low,Failed
CAD6520716.1,94.66,241,74.0,99.0,Very High,Passed
CAD6521665.1,90.1,251,52.0,98.0,Very High,Passed
CAD6521757.1,84.22,176,59.0,98.0,High,Passed
CAD6523618.1,47.28,109,26.0,80.0,Very Low,Failed
CAD6523632.1,71.16,280,43.0,90.0,High,Passed
CAD6523797.1,66.81,165,52.0,86.0,Low,Failed
CAD6524165.1,59.38,125,34.0,80.0,Low,Failed
CAD6524325.1,50.09,122,38.0,60.0,Low,Failed
CAD6524866.1,46.98,221,23.0,78.0,Very Low,Failed
CAD6525059.1,77.85,284,31.0,96.0,High,Passed
CAD6525671.1,95.47,357,63.0,99.0,Very High,Passed
CUR53895.1,71.26,176,44.0,93.0,High,Passed
CUR53949.1,95.45,379,64.0,99.0,Very High,Passed
CUR53977.1,91.92,271,43.0,99.0,Very High,Passed
CUR54012.1,80.63,195,52.0,97.0,High,Passed
CUR54090.1,92.25,159,44.0,98.0,Very High,Passed
CUR54163.1,82.53,186,46.0,96.0,High,Passed
CUR54176.1,32.86,176,24.0,57.0,Very Low,Failed
CUR54182.1,95.26,253,70.0,99.0,Very High,Passed
CUR54183.1,92.57,366,66.0,99.0,Very High,Passed
CUR54400.1,68.17,252,36.0,90.0,Low,Failed
CUR54404.1,84.03,398,30.0,98.0,High,Passed
CUR54439.1,74.19,270,31.0,95.0,High,Passed
CUR54582.1,85.82,166,49.0,94.0,High,Passed
CUR54593.1,92.11,384,47.0,99.0,Very High,Passed
CUR54653.1,90.72,251,67.0,98.0,Very High,Passed
CUR54666.1,68.65,111,29.0,97.0,Low,Failed
CUR54751.1,89.37,138,61.0,97.0,High,Passed
CUR54753.1,93.65,277,71.0,99.0,Very High,Passed
CUR54822.1,97.59,210,83.0,99.0,Very High,Passed
CUR54913.1,75.5,213,34.0,95.0,High,Passed
CUR54961.1,74.28,239,40.0,97.0,High,Passed
CUR54985.1,57.35,133,43.0,75.0,Low,Failed
CUR54986.1,85.54,238,39.0,98.0,High,Passed
CUR54988.1,75.34,162,47.0,88.0,High,Passed
CUR55001.1,74.78,396,28.0,98.0,High,Passed
CUR55002.1,95.72,266,68.0,99.0,Very High,Passed
CUR55121.1,92.45,384,60.0,99.0,Very High,Passed
CUR55133.1,88.53,159,57.0,94.0,High,Passed
CUR55164.1,90.04,321,48.0,98.0,Very High,Passed
CUR55198.1,93.43,350,77.0,99.0,Very High,Passed
CUR55205.1,35.64,130,30.0,48.0,Very Low,Failed
CUR55208.1,77.65,184,39.0,97.0,High,Passed
CUR55212.1,50.25,227,30.0,84.0,Low,Failed
CUR55222.1,74.13,110,44.0,90.0,High,Passed
CUR55248.1,84.93,281,49.0,99.0,High,Passed
CUR55307.1,93.05,290,52.0,99.0,Very High,Passed
CUR55327.1,96.44,212,79.0,99.0,Very High,Passed
CUR55330.1,93.89,300,73.0,99.0,Very High,Passed
CUR55540.1,96.5,245,52.0,99.0,Very High,Passed
CUR55555.1,78.68,214,39.0,98.0,High,Passed
CUR55623.1,36.66,285,19.0,64.0,Very Low,Failed
CUR55648.1,78.75,191,50.0,94.0,High,Passed
CUR55688.1,89.63,284,67.0,99.0,High,Passed
CUR55749.1,90.26,217,52.0,98.0,Very High,Passed
CUR55802.1,91.37,346,63.0,99.0,Very High,Passed
CUR55813.1,80.41,369,43.0,98.0,High,Passed
CUR55824.1,91.61,135,61.0,97.0,Very High,Passed
CUR55877.1,93.86,213,61.0,99.0,Very High,Passed
CUR55892.1,94.19,289,63.0,99.0,Very High,Passed
CUR55919.1,89.06,214,53.0,98.0,High,Passed
CUR55941.1,78.53,357,53.0,98.0,High,Passed
CUR56022.1,87.95,182,58.0,99.0,High,Passed
CUR56032.1,83.2,268,44.0,98.0,High,Passed
CUR56101.1,92.64,331,62.0,99.0,Very High,Passed
CUR56294.1,82.64,322,33.0,98.0,High,Passed
CUR56303.1,85.79,257,42.0,99.0,High,Passed
CUR56327.1,94.08,363,56.0,99.0,Very High,Passed
CUR56350.1,90.74,316,66.0,99.0,Very High,Passed
CUR56405.1,85.78,183,58.0,98.0,High,Passed
CUR56453.1,89.56,208,52.0,98.0,High,Passed
CUR56486.1,92.9,288,73.0,99.0,Very High,Passed
CUR56545.1,75.92,267,49.0,97.0,High,Passed
CUR56582.1,95.84,234,73.0,99.0,Very High,Passed
CUR56625.1,79.82,157,31.0,94.0,High,Passed
CUR56661.1,68.46,231,49.0,86.0,Low,Failed
CUR56735.1,88.87,256,49.0,99.0,High,Passed
CUR56746.1,81.53,322,34.0,98.0,High,Passed
CUR56748.1,52.5,315,26.0,90.0,Low,Failed
CUR56877.1,85.86,395,53.0,98.0,High,Passed
CUR56880.1,77.22,139,43.0,92.0,High,Passed
CUR56945.1,83.27,371,31.0,96.0,High,Passed
CUR57023.1,95.91,292,81.0,99.0,Very High,Passed
CUR57093.1,96.26,313,75.0,99.0,Very High,Passed
CUR57105.1,94.16,274,70.0,99.0,Very High,Passed
CUR57233.1,87.55,194,49.0,99.0,High,Passed
CUR57285.1,68.85,183,36.0,96.0,Low,Failed
AJK89317.1,92.66,348,59.0,99.0,Very High,Passed
APC47658.1,75.94,210,38.0,98.0,High,Passed
APC48948.1,91.36,279,39.0,98.0,Very High,Passed
APC49282.1,95.5,263,66.0,99.0,Very High,Passed
CAD6522349.1,88.26,371,52.0,98.0,High,Passed
CUR54455.1,88.65,255,61.0,98.0,High,Passed
CUR54918.1,89.12,248,47.0,98.0,High,Passed
CUR55564.1,88.53,326,49.0,99.0,High,Passed
CUR56414.1,86.22,319,57.0,98.0,High,Passed
AHB78276.1,92.19,234,65.0,98.0,Very High,Passed
AHG20383.2,93.56,239,56.0,99.0,Very High,Passed
AHG22808.1,83.19,145,40.0,92.0,High,Passed
CUR57302.1,79.02,267,40.0,99.0,High,Passed
CUR57303.1,92.13,400,70.0,99.0,Very High,Passed
CUR57317.1,94.14,321,64.0,99.0,Very High,Passed
CUR57336.1,91.39,383,54.0,99.0,Very High,Passed
CUR57358.1,95.3,332,68.0,99.0,Very High,Passed
CUR57426.1,77.73,165,42.0,93.0,High,Passed
CUR57479.1,91.93,210,68.0,98.0,Very High,Passed
CUR57489.1,53.06,144,37.0,72.0,Low,Failed
CUR57541.1,75.5,312,33.0,99.0,High,Passed
CUR57559.1,80.52,223,35.0,98.0,High,Passed
CUR57665.1,89.71,317,53.0,99.0,High,Passed
CUR57669.1,84.67,175,47.0,95.0,High,Passed
CUR57675.1,80.05,187,56.0,97.0,High,Passed
CUR57735.1,84.21,314,51.0,99.0,High,Passed
CUR57737.1,76.07,120,51.0,91.0,High,Passed
CUR57780.1,63.98,150,35.0,87.0,Low,Failed
CUR57791.1,92.5,281,59.0,99.0,Very High,Passed
CUR57811.1,84.83,364,60.0,96.0,High,Passed
CUR57860.1,96.6,250,68.0,99.0,Very High,Passed
CUR57888.1,81.61,292,46.0,99.0,High,Passed
CUR57901.1,95.41,212,81.0,99.0,Very High,Passed
CUR57915.1,84.87,204,38.0,98.0,High,Passed
CUR57944.1,83.25,212,51.0,97.0,High,Passed
CUR57970.1,91.98,271,58.0,99.0,Very High,Passed
CUR58069.1,88.72,242,39.0,98.0,High,Passed
CUR58266.1,87.84,254,33.0,99.0,High,Passed
CUR58320.1,96.95,260,82.0,99.0,Very High,Passed
CUR58425.1,84.81,345,46.0,98.0,High,Passed
CUR58530.1,79.14,118,44.0,91.0,High,Passed
CUR58547.1,90.85,315,57.0,99.0,Very High,Passed
CUR58575.1,85.81,280,44.0,98.0,High,Passed
CUR58642.1,85.23,267,53.0,98.0,High,Passed
CUR58667.1,68.08,292,26.0,95.0,Low,Failed
CUR58670.1,85.02,400,41.0,99.0,High,Passed
CUR58684.1,50.37,220,30.0,88.0,Low,Failed
CUR58845.1,88.95,216,62.0,99.0,High,Passed
CUR58908.1,97.32,325,61.0,99.0,Very High,Passed
CUR58940.1,91.11,200,71.0,99.0,Very High,Passed
CUR58941.1,95.81,331,79.0,99.0,Very High,Passed
CUR58944.1,64.45,143,45.0,87.0,Low,Failed
CUR58963.1,93.12,365,58.0,99.0,Very High,Passed
CUR59117.1,47.38,376,24.0,87.0,Very Low,Failed
CUR59129.1,88.23,150,45.0,95.0,High,Passed
CUR59171.1,85.69,140,51.0,96.0,High,Passed
CUR59213.1,67.95,309,28.0,95.0,Low,Failed
CUR59351.1,85.69,227,48.0,98.0,High,Passed
CUR59386.1,94.94,328,72.0,99.0,Very High,Passed
CUR59471.1,91.88,297,51.0,99.0,Very High,Passed
CUR59507.1,85.32,211,52.0,96.0,High,Passed
CUR59531.1,92.46,191,58.0,98.0,Very High,Passed
CUR59599.1,85.01,162,54.0,93.0,High,Passed
CUR59602.1,87.38,286,61.0,98.0,High,Passed
CUR59625.1,92.12,280,66.0,99.0,Very High,Passed
CUR59768.1,81.17,282,36.0,99.0,High,Passed
CUR59775.1,67.07,146,40.0,85.0,Low,Failed
CUR59833.1,29.04,279,20.0,44.0,Very Low,Failed
CUR59848.1,61.53,102,47.0,84.0,Low,Failed
CUR59860.1,86.04,165,50.0,96.0,High,Passed
CUR59870.1,92.98,315,69.0,99.0,Very High,Passed
CUR59940.1,43.03,127,28.0,62.0,Very Low,Failed
CUR59941.1,93.53,287,73.0,99.0,Very High,Passed
CUR60159.1,80.64,307,36.0,98.0,High,Passed
CUR60207.1,85.35,282,29.0,99.0,High,Passed
CUR60218.1,91.38,260,51.0,99.0,Very High,Passed
CUR60256.1,33.08,102,24.0,44.0,Very Low,Failed
CUR60272.1,93.76,234,75.0,98.0,Very High,Passed
CUR60289.1,94.29,210,62.0,99.0,Very High,Passed
CUR60352.1,92.32,359,60.0,99.0,Very High,Passed
CUR60394.1,87.49,326,24.0,98.0,High,Passed
CUR60538.1,76.89,264,44.0,97.0,High,Passed
CUR60540.1,86.38,292,39.0,99.0,High,Passed
CUR60573.1,95.54,249,62.0,99.0,Very High,Passed
CUR60575.1,84.39,246,53.0,98.0,High,Passed
CUR60590.1,85.03,278,45.0,99.0,High,Passed
CUR60616.1,85.99,386,51.0,99.0,High,Passed
CUR60796.1,90.13,320,55.0,98.0,Very High,Passed
CUR60818.1,71.13,349,33.0,97.0,High,Passed
CUR60820.1,95.07,256,77.0,99.0,Very High,Passed
CUR60876.1,38.9,185,26.0,79.0,Very Low,Failed
CUR60938.1,82.15,242,41.0,98.0,High,Passed
CUR60947.1,96.04,327,79.0,99.0,Very High,Passed
CUR60957.1,92.72,369,50.0,99.0,Very High,Passed
CUR60992.1,91.65,223,51.0,99.0,Very High,Passed
CUR61019.1,89.87,230,61.0,98.0,High,Passed
CUR61201.1,90.21,239,71.0,98.0,Very High,Passed
CUR61270.1,92.59,232,54.0,99.0,Very High,Passed
CUR61389.1,90.5,335,61.0,99.0,Very High,Passed
CUR61456.1,93.82,220,67.0,99.0,Very High,Passed
CUR61469.1,94.69,284,58.0,99.0,Very High,Passed
CUR61535.1,89.69,345,62.0,98.0,High,Passed
CUR61571.1,60.27,273,25.0,88.0,Low,Failed
CUR61601.1,83.12,304,52.0,98.0,High,Passed
CUR61633.1,91.82,319,68.0,99.0,Very High,Passed
CUR61709.1,95.89,299,62.0,99.0,Very High,Passed
CUR61782.1,73.82,251,37.0,95.0,High,Passed
CUR61873.1,91.31,277,60.0,98.0,Very High,Passed
CUR61915.1,89.11,225,46.0,99.0,High,Passed
CUR61928.1,95.98,323,83.0,99.0,Very High,Passed
CUR61988.1,83.8,153,50.0,95.0,High,Passed
CUR62103.1,86.34,116,64.0,94.0,High,Passed
CUR62216.1,70.13,394,32.0,97.0,High,Passed
CUR62221.1,83.1,210,59.0,95.0,High,Passed
CUR62231.1,64.26,378,27.0,98.0,Low,Failed
CUR62249.1,72.23,154,37.0,91.0,High,Passed
CUR62266.1,71.36,284,38.0,97.0,High,Passed
CUR62346.1,79.78,254,46.0,97.0,High,Passed
CUR62376.1,68.16,119,37.0,87.0,Low,Failed
CUR62387.1,75.47,224,42.0,98.0,High,Passed
CUR62391.1,74.89,218,37.0,98.0,High,Passed
CUR62414.1,97.09,262,72.0,99.0,Very High,Passed
CUR62437.1,91.05,356,55.0,99.0,Very High,Passed
CUR62453.1,92.9,233,70.0,99.0,Very High,Passed
CUR62480.1,94.26,339,61.0,99.0,Very High,Passed
CUR62482.1,96.71,238,71.0,99.0,Very High,Passed
EIW87480.1,94.16,250,71.0,99.0,Very High,Passed
EIW87566.1,90.87,186,55.0,96.0,Very High,Passed
EIW87573.1,89.28,255,50.0,99.0,High,Passed
EIW87646.1,92.06,300,69.0,99.0,Very High,Passed
EIW87799.1,84.97,400,32.0,98.0,High,Passed
EIW87853.1,59.94,201,34.0,82.0,Low,Failed
EIW87959.1,94.46,207,77.0,99.0,Very High,Passed
EIW88011.1,96.81,290,83.0,99.0,Very High,Passed
EIW88140.1,48.15,150,26.0,73.0,Very Low,Failed
EIW88203.1,93.99,273,70.0,99.0,Very High,Passed
EIW88535.1,91.23,324,64.0,99.0,Very High,Passed
EIW88666.1,87.14,248,48.0,98.0,High,Passed
EIW88796.1,91.47,380,53.0,99.0,Very High,Passed
EIW89052.1,91.63,379,50.0,99.0,Very High,Passed
EIW89070.1,94.31,389,66.0,99.0,Very High,Passed
EIW89170.1,87.69,386,53.0,99.0,High,Passed
