Protein_ID,Binding_Affinity,Grid_Center,Grid_Size,Status,Message,Timestamp
AHB75005.2,-6.094,"(0.05, -1.21, 3.761)","(62.011, 61.456, 70.631)",Success,OK,2026-01-03T15:17:51.147023
AHB75089.1,-6.136,"(0.053, 6.09, 1.498)","(58.135, 69.617, 72.984)",Success,OK,2026-01-03T15:18:06.783479
AHB75156.1,-5.57,"(-1.071, 18.177, 5.964)","(76.411, 90.234, 77.462)",Success,OK,2026-01-03T15:18:25.405932
AHB75174.2,-5.203,"(-4.035, 0.662, -4.312)","(66.113, 48.418, 62.731)",Success,OK,2026-01-03T15:18:40.873699
AHB75256.1,-5.201,"(1.88, -1.149, -4.354)","(58.378, 63.753, 61.563)",Success,OK,2026-01-03T15:18:58.112470
AHB75299.2,-5.294,"(-2.457, -0.13, 0.153)","(65.022, 56.579, 67.88)",Success,OK,2026-01-03T15:19:17.017248
AHB75310.1,-4.562,"(-6.594, 3.989, 0.87)","(52.331, 72.155, 59.61)",Success,OK,2026-01-03T15:19:36.438157
AHB75464.2,-6.142,"(-0.972, 0.248, -6.763)","(54.913, 48.485, 80.188)",Success,OK,2026-01-03T15:19:58.068072
AHB75472.1,-5.889,"(2.309, 0.954, 2.822)","(62.755, 63.451, 89.929)",Success,OK,2026-01-03T15:20:20.985404
AHB75490.1,-5.657,"(-3.482, -0.73, -0.136)","(64.102, 59.924, 66.086)",Success,OK,2026-01-03T15:20:38.263901
AHB75649.1,-5.995,"(-1.505, -9.231, 1.031)","(60.654, 70.001, 74.683)",Success,OK,2026-01-03T15:20:57.021597
AHB75679.1,-5.733,"(-0.886, -9.594, 0.315)","(55.409, 66.834, 60.417)",Success,OK,2026-01-03T15:21:14.460514
AHB75709.1,-6.228,"(0.303, -0.845, -2.665)","(60.896, 58.467, 61.82)",Success,OK,2026-01-03T15:21:32.640900
AHB76034.1,-5.415,"(-2.163, 12.732, 17.528)","(68.944, 89.835, 106.416)",Success,OK,2026-01-03T15:21:55.535071
AHB76128.1,-4.548,"(-22.648, 2.601, -21.768)","(96.655, 49.727, 103.508)",Success,OK,2026-01-03T15:22:12.659127
AHB76370.2,-5.518,"(0.213, 7.225, 6.761)","(71.155, 75.88, 78.489)",Success,OK,2026-01-03T15:22:31.899371
AHB76432.1,-6.241,"(-0.422, 0.837, -0.117)","(72.256, 59.061, 70.412)",Success,OK,2026-01-03T15:22:49.468383
AHB76583.2,-5.436,"(5.993, 9.032, 15.523)","(77.766, 82.349, 109.284)",Success,OK,2026-01-03T15:23:12.058016
AHB76685.2,-5.369,"(-0.368, 5.127, 18.575)","(70.848, 76.35, 109.549)",Success,OK,2026-01-03T15:23:36.648262
AHB76728.1,-5.185,"(-7.698, -1.751, 2.979)","(75.308, 65.571, 74.797)",Success,OK,2026-01-03T15:23:58.938330
AHB76762.1,-4.316,"(-8.83, -11.309, -19.976)","(76.686, 76.003, 121.0)",Success,OK,2026-01-03T15:24:32.030389
AHB76811.1,-4.73,"(-2.31, 0.104, 0.026)","(50.242, 46.961, 44.914)",Success,OK,2026-01-03T15:24:55.639478
AHB76832.2,-6.624,"(3.785, 0.505, -2.013)","(62.863, 66.604, 64.71)",Success,OK,2026-01-03T15:25:19.216485
AHB76914.2,-5.712,"(-7.989, 2.258, 1.654)","(72.255, 59.269, 69.418)",Success,OK,2026-01-03T15:25:36.802616
AHB77090.1,-5.936,"(-4.319, -3.744, -2.341)","(58.657, 70.035, 75.742)",Success,OK,2026-01-03T15:25:54.249747
AHB77093.2,-5.924,"(-3.605, -1.323, -1.511)","(61.548, 58.445, 73.754)",Success,OK,2026-01-03T15:26:09.512323
AHB77260.1,-4.581,"(6.638, 18.99, -0.856)","(88.392, 91.486, 71.169)",Success,OK,2026-01-03T15:26:26.920978
AHB77347.1,-5.69,"(-10.903, -0.207, 4.306)","(92.376, 64.609, 92.192)",Success,OK,2026-01-03T15:26:46.961397
AHB77392.2,-6.775,"(-0.762, -8.934, -1.287)","(59.677, 76.783, 64.803)",Success,OK,2026-01-03T15:27:03.563469
AHB77471.2,-5.528,"(5.695, 0.323, -13.297)","(90.267, 78.417, 126.0)",Success,OK,2026-01-03T15:27:24.673546
AHB77510.2,-5.026,"(-2.375, 8.122, -3.424)","(52.957, 90.094, 93.422)",Success,OK,2026-01-03T15:27:41.463753
AHB77522.1,-5.885,"(6.267, -0.91, 3.034)","(66.803, 50.457, 66.032)",Success,OK,2026-01-03T15:27:55.491574
AHB77586.1,-4.957,"(4.127, -15.591, 2.775)","(73.967, 83.141, 109.306)",Success,OK,2026-01-03T15:28:16.371583
AHB77672.1,-6.467,"(-3.754, -5.209, 13.376)","(65.996, 68.387, 125.308)",Success,OK,2026-01-03T15:28:35.404992
AHB77900.2,-7.057,"(1.338, -9.671, -2.805)","(65.431, 83.228, 80.665)",Success,OK,2026-01-03T15:28:53.784929
AHB77913.2,-6.254,"(1.707, -0.743, 5.395)","(70.259, 65.327, 83.611)",Success,OK,2026-01-03T15:29:11.381985
AHB78153.1,-5.72,"(4.469, -10.405, -10.344)","(60.507, 104.259, 116.806)",Success,OK,2026-01-03T15:29:30.915262
AHB78229.2,-4.894,"(0.875, 0.058, 4.998)","(91.055, 96.518, 121.073)",Success,OK,2026-01-03T15:29:54.610378
AHB78233.1,-5.079,"(15.208, -0.259, -1.202)","(75.084, 78.654, 65.888)",Success,OK,2026-01-03T15:30:10.247885
AHB78268.1,-5.208,"(2.451, 3.159, -0.37)","(59.292, 62.751, 68.652)",Success,OK,2026-01-03T15:30:24.827933
AHB78276.1,-4.024,"(3.714, 16.696, 23.5)","(88.824, 126.0, 126.0)",Success,OK,2026-01-03T15:30:46.662960
AHB78288.1,-5.932,"(-1.447, -8.072, -3.504)","(76.667, 76.825, 66.774)",Success,OK,2026-01-03T15:31:05.242426
AHB78353.1,-5.876,"(5.229, 3.068, 0.355)","(56.417, 49.792, 67.172)",Success,OK,2026-01-03T15:31:17.365199
AHB78391.1,-4.982,"(5.212, 0.055, -12.187)","(65.705, 59.125, 72.864)",Success,OK,2026-01-03T15:31:31.595998
AHB78401.1,-5.34,"(-0.907, 7.526, -4.298)","(68.538, 101.356, 81.617)",Success,OK,2026-01-03T15:31:49.338124
AHB78417.2,-4.377,"(24.678, -3.918, -3.875)","(126.0, 96.829, 112.373)",Success,OK,2026-01-03T15:32:12.221601
AHB78517.1,-5.783,"(-1.216, -1.432, 6.329)","(67.996, 53.407, 64.421)",Success,OK,2026-01-03T15:32:25.426543
AHB78703.1,-4.778,"(-2.842, 2.921, 1.981)","(121.498, 79.501, 86.137)",Success,OK,2026-01-03T15:32:44.600609
AHB78714.1,-5.001,"(-5.267, 10.68, 2.781)","(58.39, 64.627, 57.243)",Success,OK,2026-01-03T15:32:57.249762
AHB78739.1,-5.6,"(3.063, -3.162, 3.294)","(62.217, 68.957, 81.593)",Success,OK,2026-01-03T15:33:12.539210
AHB78752.1,-5.271,"(-5.221, -8.439, 5.922)","(56.606, 74.784, 97.964)",Success,OK,2026-01-03T15:33:27.339189
AHG18318.1,-5.316,"(2.819, 1.41, -1.061)","(64.781, 47.09, 65.098)",Success,OK,2026-01-03T15:33:39.841256
AHG18375.2,-4.826,"(-23.914, 1.207, -4.406)","(110.0, 64.244, 86.168)",Success,OK,2026-01-03T15:33:57.258395
AHG18965.1,-5.784,"(-0.509, -6.363, -0.072)","(68.731, 68.95, 61.631)",Success,OK,2026-01-03T15:34:11.684975
AHG19122.1,-5.172,"(2.915, 3.007, 0.122)","(65.454, 55.986, 75.965)",Success,OK,2026-01-03T15:34:25.659912
AHG19160.1,-5.713,"(-4.675, 23.237, -0.951)","(59.658, 97.649, 104.225)",Success,OK,2026-01-03T15:34:43.563980
AHG19167.1,-6.519,"(-9.081, 9.306, 35.636)","(70.272, 74.661, 126.0)",Success,OK,2026-01-03T15:34:59.558605
AHG19222.1,-5.366,"(-4.396, 0.274, -28.457)","(60.451, 84.827, 126.0)",Success,OK,2026-01-03T15:35:18.136397
AHG19372.1,-5.274,"(-1.789, 7.668, -0.928)","(70.786, 62.107, 65.303)",Success,OK,2026-01-03T15:35:32.128334
AHG19445.1,-5.268,"(2.56, 4.959, 2.555)","(52.788, 69.746, 58.082)",Success,OK,2026-01-03T15:35:45.104773
AHG19601.1,-5.244,"(21.781, -18.672, -14.864)","(99.9, 95.658, 90.819)",Success,OK,2026-01-03T15:36:03.551386
AHG20343.1,-5.098,"(3.939, 4.306, -0.332)","(66.16, 58.755, 68.218)",Success,OK,2026-01-03T15:36:17.206276
AHG20383.2,-5.994,"(2.011, 1.457, -0.55)","(58.637, 55.126, 69.032)",Success,OK,2026-01-03T15:36:30.272494
AHG20449.1,-6.483,"(-1.414, 1.802, 2.306)","(57.598, 60.444, 71.741)",Success,OK,2026-01-03T15:36:44.384268
AHG20739.1,-6.087,"(0.117, -8.72, 0.13)","(66.091, 69.389, 80.61)",Success,OK,2026-01-03T15:37:00.112520
AHG20833.2,-6.227,"(-2.527, -1.104, -2.197)","(57.943, 54.973, 68.281)",Success,OK,2026-01-03T15:37:12.908856
AHG21042.1,-6.348,"(-2.907, -1.905, -1.227)","(66.765, 74.475, 86.581)",Success,OK,2026-01-03T15:37:30.268941
AHG21064.1,-5.26,"(-1.487, -0.816, -1.638)","(53.395, 71.083, 90.008)",Success,OK,2026-01-03T15:37:46.698064
AHG21112.1,-5.053,"(2.745, 1.355, 8.881)","(54.314, 70.223, 77.428)",Success,OK,2026-01-03T15:38:02.626824
AHG21311.1,-5.366,"(2.62, 6.29, -10.068)","(102.884, 75.421, 85.553)",Success,OK,2026-01-03T15:38:21.158946
AHG21379.1,-5.945,"(-4.529, 0.682, -3.733)","(62.411, 62.668, 64.382)",Success,OK,2026-01-03T15:38:36.143313
AHG21538.1,-4.871,"(-0.438, -5.534, -1.947)","(51.145, 62.931, 59.385)",Success,OK,2026-01-03T15:38:50.117813
AHG21611.1,-5.286,"(-4.844, -3.176, -0.839)","(58.926, 59.642, 75.79)",Success,OK,2026-01-03T15:39:05.536745
AHG21663.1,-5.975,"(-2.208, 0.877, -0.745)","(60.697, 57.096, 66.206)",Success,OK,2026-01-03T15:39:20.008960
AHG21714.1,-5.432,"(0.82, 0.212, 6.379)","(47.777, 57.998, 66.695)",Success,OK,2026-01-03T15:39:34.177925
AHG21872.1,-5.466,"(-0.413, -1.832, 0.508)","(54.484, 60.127, 69.015)",Success,OK,2026-01-03T15:39:47.796614
AHG22468.1,-5.305,"(-1.121, 1.279, 9.787)","(61.966, 66.81, 87.345)",Success,OK,2026-01-03T15:40:05.330418
AHG22585.1,-5.859,"(6.903, -1.22, -6.312)","(63.324, 53.756, 76.076)",Success,OK,2026-01-03T15:40:19.133304
AHG22588.1,-5.694,"(2.24, -1.24, 0.512)","(68.453, 56.12, 62.789)",Success,OK,2026-01-03T15:40:33.777138
AHG22626.1,-5.898,"(-1.905, -2.091, -2.867)","(68.935, 58.731, 67.302)",Success,OK,2026-01-03T15:40:48.892840
AHG22634.1,-5.715,"(1.338, 2.096, -8.031)","(63.424, 62.927, 100.714)",Success,OK,2026-01-03T15:41:05.872426
AHG22651.2,-5.423,"(0.812, -10.509, -22.845)","(50.827, 65.678, 118.54)",Success,OK,2026-01-03T15:41:21.807297
AHG22679.1,-5.654,"(9.694, 10.448, -15.149)","(70.726, 84.108, 116.563)",Success,OK,2026-01-03T15:41:41.735296
AHG22705.1,-4.757,"(8.97, 14.581, 0.805)","(73.821, 124.381, 82.798)",Success,OK,2026-01-03T15:42:01.910197
AHG22745.1,-5.684,"(-3.03, 3.363, 38.727)","(61.117, 58.614, 126.0)",Success,OK,2026-01-03T15:42:18.330979
AHG22792.1,-5.357,"(1.541, 1.423, -1.617)","(55.74, 73.927, 99.208)",Success,OK,2026-01-03T15:42:34.789797
AHG22808.1,-4.87,"(-2.21, -4.662, -8.59)","(55.358, 62.773, 74.241)",Success,OK,2026-01-03T15:42:49.248178
AHG22826.1,-5.457,"(-1.894, 25.827, -9.76)","(44.359, 109.581, 81.749)",Success,OK,2026-01-03T15:43:05.418829
AHG22852.1,-4.659,"(-6.217, -2.977, -11.085)","(63.601, 60.549, 71.696)",Success,OK,2026-01-03T15:43:19.916307
AJK85803.1,-5.399,"(1.099, 16.7, 4.315)","(56.851, 92.431, 80.562)",Success,OK,2026-01-03T15:43:37.022708
AJK85954.1,-5.209,"(-1.915, -5.78, -3.385)","(71.775, 67.343, 66.203)",Success,OK,2026-01-03T15:43:52.312003
AJK86331.1,-5.211,"(10.376, -6.237, -2.745)","(84.208, 95.986, 75.185)",Success,OK,2026-01-03T15:44:13.311595
AJK86521.1,-5.319,"(-3.636, 0.072, -2.688)","(64.52, 63.701, 72.745)",Success,OK,2026-01-03T15:44:28.997755
AJK86530.1,-5.112,"(-7.646, 21.514, -10.04)","(72.311, 99.534, 111.385)",Success,OK,2026-01-03T15:44:48.770672
AJK86713.1,-5.872,"(-6.351, 0.454, -3.532)","(66.61, 58.115, 65.308)",Success,OK,2026-01-03T15:45:03.435256
AJK86758.1,-6.688,"(1.374, -4.357, -5.334)","(65.92, 57.765, 58.003)",Success,OK,2026-01-03T15:45:17.838829
AJK86901.1,-6.401,"(0.865, 0.536, -1.026)","(75.951, 64.394, 68.125)",Success,OK,2026-01-03T15:45:35.265169
AJK87067.1,-5.585,"(-9.376, 9.322, 4.85)","(85.144, 84.235, 88.424)",Success,OK,2026-01-03T15:45:55.016128
AJK87175.1,-4.592,"(8.529, -3.656, -7.348)","(90.113, 85.452, 104.821)",Success,OK,2026-01-03T15:46:12.222729
AJK87180.1,-6.694,"(0.562, -1.934, -3.258)","(48.353, 59.565, 59.819)",Success,OK,2026-01-03T15:46:25.113538
AJK87253.1,-5.648,"(0.089, 2.966, -0.742)","(61.886, 52.192, 64.634)",Success,OK,2026-01-03T15:46:38.166018
AJK87300.1,-6.308,"(2.324, -1.924, -3.845)","(60.594, 79.603, 78.866)",Success,OK,2026-01-03T15:46:56.251806
AJK87329.1,-5.76,"(2.156, -0.013, -3.016)","(58.83, 60.029, 70.333)",Success,OK,2026-01-03T15:47:11.357490
AJK87336.1,-5.724,"(2.34, 0.275, -0.822)","(56.613, 59.128, 64.859)",Success,OK,2026-01-03T15:47:25.054946
AJK87370.1,-5.614,"(2.01, -1.546, -0.467)","(63.651, 59.029, 73.577)",Success,OK,2026-01-03T15:47:40.642550
AJK87445.1,-6.258,"(1.137, 10.586, 9.154)","(54.113, 91.94, 94.697)",Success,OK,2026-01-03T15:47:59.175369
AJK87675.1,-4.662,"(5.913, 11.746, 7.34)","(110.699, 80.92, 99.788)",Success,OK,2026-01-03T15:48:19.576518
AJK87849.1,-6.604,"(0.543, -2.265, -0.065)","(58.051, 58.353, 68.663)",Success,OK,2026-01-03T15:48:33.989316
AJK87853.1,-5.182,"(-1.405, 4.751, 1.532)","(60.947, 61.718, 63.915)",Success,OK,2026-01-03T15:48:48.337205
AJK88124.1,-5.214,"(6.921, -10.32, 2.198)","(55.304, 81.38, 98.13)",Success,OK,2026-01-03T15:49:04.035355
AJK88405.1,-6.298,"(-2.959, 0.563, -4.375)","(68.325, 61.782, 67.522)",Success,OK,2026-01-03T15:49:19.824485
AJK88408.1,-5.097,"(-9.28, 3.694, -0.528)","(76.441, 89.429, 67.965)",Success,OK,2026-01-03T15:49:35.858519
AJK88553.1,-6.28,"(2.206, -2.343, -1.349)","(65.107, 56.734, 67.202)",Success,OK,2026-01-03T15:49:50.934379
AJK88688.1,-5.13,"(12.593, 1.503, 5.546)","(90.2, 73.593, 72.678)",Success,OK,2026-01-03T15:50:09.898649
AJK88693.1,-5.066,"(-11.054, -2.473, -7.39)","(73.028, 52.898, 67.226)",Success,OK,2026-01-03T15:50:24.246806
AJK88704.1,-5.605,"(3.463, 0.106, -0.224)","(67.275, 63.401, 63.762)",Success,OK,2026-01-03T15:50:39.855793
AJK88712.1,-5.273,"(6.031, 1.968, 3.364)","(72.306, 69.405, 79.407)",Success,OK,2026-01-03T15:50:57.432674
AJK88911.1,-4.597,"(10.741, -1.219, 10.19)","(92.844, 80.93, 122.606)",Success,OK,2026-01-03T15:51:19.155493
AJK89175.1,-6.182,"(-0.812, -1.506, 2.37)","(63.284, 67.184, 89.105)",Success,OK,2026-01-03T15:51:37.118118
AJK89259.1,-4.868,"(-3.383, 0.111, 2.162)","(55.021, 58.833, 62.507)",Success,OK,2026-01-03T15:51:50.795883
AJK89317.1,-6.234,"(0.277, -3.058, 0.639)","(60.795, 71.718, 65.479)",Success,OK,2026-01-03T15:52:06.363494
AJK89351.1,-5.102,"(1.551, 0.206, 4.553)","(71.349, 64.952, 55.437)",Success,OK,2026-01-03T15:52:20.668710
AJK89483.1,-4.929,"(0.582, 1.859, -2.096)","(47.206, 54.739, 52.848)",Success,OK,2026-01-03T15:52:32.411130
AJK89589.1,-5.621,"(-5.625, 10.715, 4.075)","(65.328, 76.991, 71.124)",Success,OK,2026-01-03T15:52:48.959920
AJK89659.1,-5.041,"(0.704, -3.627, -6.08)","(39.304, 54.634, 58.782)",Success,OK,2026-01-03T15:53:00.774673
AJK89685.1,-5.291,"(-2.124, -2.295, 1.444)","(47.896, 53.755, 57.055)",Success,OK,2026-01-03T15:53:13.074932
AJK89692.1,-5.61,"(1.399, 3.058, -0.574)","(57.577, 57.277, 73.606)",Success,OK,2026-01-03T15:53:27.473646
AJK89922.1,-6.565,"(-1.845, -0.008, -4.974)","(64.709, 66.314, 64.343)",Success,OK,2026-01-03T15:53:42.218233
AJK89933.1,-5.506,"(8.426, 0.967, -2.145)","(89.346, 68.373, 85.947)",Success,OK,2026-01-03T15:54:01.006250
AJK89975.1,-4.619,"(0.634, 0.598, 1.89)","(59.49, 48.255, 50.098)",Success,OK,2026-01-03T15:54:12.814183
AJW28938.1,-6.682,"(-11.412, -4.488, 0.856)","(79.989, 67.233, 73.098)",Success,OK,2026-01-03T15:54:30.783848
APC46874.1,-4.454,"(-2.775, 9.691, -0.839)","(59.931, 73.896, 126.0)",Success,OK,2026-01-03T15:54:46.927508
APC46968.1,-5.574,"(-2.579, -1.775, -0.005)","(58.884, 79.387, 88.587)",Success,OK,2026-01-03T15:55:04.927883
APC47037.1,-5.186,"(-6.098, 0.075, -17.401)","(78.469, 56.763, 99.941)",Success,OK,2026-01-03T15:55:22.971039
APC47285.1,-5.938,"(1.627, -3.455, 6.87)","(59.345, 58.349, 70.008)",Success,OK,2026-01-03T15:55:37.439572
APC47301.1,-5.526,"(4.838, -0.542, 4.609)","(47.411, 46.576, 55.852)",Success,OK,2026-01-03T15:55:49.266165
APC47479.1,-6.173,"(0.989, -0.469, 1.326)","(68.674, 68.942, 82.71)",Success,OK,2026-01-03T15:56:07.270765
APC47486.1,-5.731,"(2.688, 1.622, 6.097)","(64.792, 57.009, 83.09)",Success,OK,2026-01-03T15:56:23.045135
APC47545.1,-5.419,"(2.43, -1.563, 0.027)","(65.607, 53.684, 75.539)",Success,OK,2026-01-03T15:56:38.542554
APC47549.1,-5.037,"(9.854, -0.443, 0.573)","(72.061, 80.128, 102.801)",Success,OK,2026-01-03T15:56:59.027834
APC47658.1,-6.192,"(12.366, 2.467, -16.42)","(89.086, 59.32, 90.424)",Success,OK,2026-01-03T15:57:15.558921
APC47672.1,-6.144,"(-1.438, 1.447, -9.472)","(53.633, 57.704, 77.904)",Success,OK,2026-01-03T15:57:30.939056
APC47673.1,-5.446,"(0.732, -3.061, 1.548)","(63.817, 60.206, 66.406)",Success,OK,2026-01-03T15:57:45.811592
APC47684.1,-5.325,"(-1.184, -4.35, -2.166)","(63.811, 70.942, 73.448)",Success,OK,2026-01-03T15:58:02.129251
APC47798.1,-5.064,"(-1.49, -0.054, 10.175)","(45.428, 50.568, 83.285)",Success,OK,2026-01-03T15:58:15.288007
APC47952.1,-6.053,"(-1.795, -0.464, 2.403)","(67.62, 63.99, 67.7)",Success,OK,2026-01-03T15:58:31.818500
APC47980.1,-6.861,"(-3.918, -1.764, -6.628)","(58.051, 64.637, 61.847)",Success,OK,2026-01-03T15:58:46.443975
APC48020.1,-4.666,"(2.157, 0.352, -2.15)","(55.073, 43.207, 58.282)",Success,OK,2026-01-03T15:58:58.970130
APC48086.1,-4.688,"(-2.409, -0.248, -4.315)","(54.299, 49.975, 67.701)",Success,OK,2026-01-03T15:59:12.004844
APC48196.1,-6.048,"(-1.114, 1.277, -4.012)","(55.511, 48.945, 55.112)",Success,OK,2026-01-03T15:59:24.570631
APC48259.1,-5.41,"(-1.614, -3.288, -2.493)","(52.315, 57.509, 56.04)",Success,OK,2026-01-03T15:59:37.213743
APC48305.1,-5.557,"(-2.946, -1.597, 3.449)","(67.013, 67.67, 75.846)",Success,OK,2026-01-03T15:59:53.495218
APC48321.1,-6.717,"(-2.143, -5.479, -1.601)","(65.775, 70.182, 67.253)",Success,OK,2026-01-03T16:00:10.099547
APC48449.1,-6.163,"(5.063, 1.241, 4.366)","(76.126, 72.934, 80.955)",Success,OK,2026-01-03T16:00:28.831935
APC48735.1,-5.489,"(-1.237, -2.316, -11.795)","(68.882, 90.636, 88.94)",Success,OK,2026-01-03T16:00:49.286710
APC48848.1,-6.128,"(-0.336, -2.371, -0.732)","(65.072, 56.819, 69.191)",Success,OK,2026-01-03T16:01:05.732617
APC48868.1,-4.557,"(-0.807, -13.652, 5.654)","(75.911, 106.665, 79.876)",Success,OK,2026-01-03T16:01:26.065939
APC48948.1,-5.521,"(-3.657, -2.111, 2.704)","(75.581, 54.747, 78.456)",Success,OK,2026-01-03T16:01:43.457813
APC48952.1,-4.948,"(1.461, -1.202, -5.009)","(63.014, 56.157, 71.871)",Success,OK,2026-01-03T16:01:59.307400
APC48973.1,-5.156,"(3.472, 2.375, 4.303)","(55.029, 46.245, 55.399)",Success,OK,2026-01-03T16:02:11.981996
APC49050.1,-5.147,"(4.433, 0.467, -10.79)","(59.037, 47.942, 80.537)",Success,OK,2026-01-03T16:02:26.480726
APC49071.1,-5.834,"(3.906, -2.726, 1.467)","(68.205, 71.775, 57.506)",Success,OK,2026-01-03T16:02:42.964716
APC49089.1,-5.508,"(-4.348, 0.843, -1.816)","(62.565, 68.747, 80.161)",Success,OK,2026-01-03T16:03:00.998694
APC49106.1,-5.206,"(6.204, 0.009, 1.111)","(71.129, 57.851, 68.078)",Success,OK,2026-01-03T16:03:17.522046
APC49188.1,-6.152,"(-1.524, -0.409, -3.435)","(61.489, 58.108, 64.91)",Success,OK,2026-01-03T16:03:32.951548
APC49241.1,-5.717,"(7.731, 0.196, 3.279)","(83.561, 65.706, 74.722)",Success,OK,2026-01-03T16:03:51.517056
APC49279.1,-5.479,"(8.336, 0.675, 1.164)","(78.992, 71.405, 70.627)",Success,OK,2026-01-03T16:04:10.172220
APC49282.1,-5.063,"(-12.044, -1.453, -23.716)","(82.544, 59.2, 125.381)",Success,OK,2026-01-03T16:04:29.731060
APC49381.1,-5.589,"(1.178, -1.16, 1.155)","(61.803, 58.938, 78.171)",Success,OK,2026-01-03T16:04:46.990016
APC49414.1,-5.539,"(6.447, 3.551, 3.13)","(68.327, 64.838, 79.697)",Success,OK,2026-01-03T16:05:04.513917
